year_month,month_of_release,passenger_type,direction,sex,age,estimate
2001-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,344
2001-01,2020-09,Long-term migrant,Arrivals,Male,0-4 years,341
2001-01,2020-09,Long-term migrant,Arrivals,Female,10-14 years,459
2001-01,2020-09,Long-term migrant,Arrivals,Male,10-14 years,510
2001-01,2020-09,Long-term migrant,Arrivals,Female,15-19 years,899
2001-01,2020-09,Long-term migrant,Arrivals,Male,15-19 years,904
2001-01,2020-09,Long-term migrant,Arrivals,Female,20-24 years,566
2001-01,2020-09,Long-term migrant,Arrivals,Male,20-24 years,566
2001-01,2020-09,Long-term migrant,Arrivals,Female,25-29 years,659
2001-01,2020-09,Long-term migrant,Arrivals,Male,25-29 years,604
2001-01,2020-09,Long-term migrant,Arrivals,Female,30-34 years,514
2001-01,2020-09,Long-term migrant,Arrivals,Male,30-34 years,502
2001-01,2020-09,Long-term migrant,Arrivals,Female,35-39 years,460
2001-01,2020-09,Long-term migrant,Arrivals,Male,35-39 years,407
2001-01,2020-09,Long-term migrant,Arrivals,Female,40-44 years,328
2001-01,2020-09,Long-term migrant,Arrivals,Male,40-44 years,348
2001-01,2020-09,Long-term migrant,Arrivals,Female,45-49 years,206
2001-01,2020-09,Long-term migrant,Arrivals,Male,45-49 years,221
2001-01,2020-09,Long-term migrant,Arrivals,Female,5-9 years,407
2001-01,2020-09,Long-term migrant,Arrivals,Male,5-9 years,404
2001-01,2020-09,Long-term migrant,Arrivals,Female,50-54 years,142
2001-01,2020-09,Long-term migrant,Arrivals,Male,50-54 years,171
2001-01,2020-09,Long-term migrant,Arrivals,Female,55-59 years,93
2001-01,2020-09,Long-term migrant,Arrivals,Male,55-59 years,104
2001-01,2020-09,Long-term migrant,Arrivals,Female,60-64 years,74
2001-01,2020-09,Long-term migrant,Arrivals,Male,60-64 years,69
2001-01,2020-09,Long-term migrant,Arrivals,Female,65-69 years,61
2001-01,2020-09,Long-term migrant,Arrivals,Male,65-69 years,42
2001-01,2020-09,Long-term migrant,Arrivals,Female,70-74 years,32
2001-01,2020-09,Long-term migrant,Arrivals,Male,70-74 years,37
2001-01,2020-09,Long-term migrant,Arrivals,Female,75-79 years,21
2001-01,2020-09,Long-term migrant,Arrivals,Male,75-79 years,14
2001-01,2020-09,Long-term migrant,Arrivals,Female,80-84 years,11
2001-01,2020-09,Long-term migrant,Arrivals,Male,80-84 years,8
2001-01,2020-09,Long-term migrant,Arrivals,Female,85-89 years,4
2001-01,2020-09,Long-term migrant,Arrivals,Male,85-89 years,3
2001-01,2020-09,Long-term migrant,Arrivals,Female,90+ years,5
2001-01,2020-09,Long-term migrant,Arrivals,Male,90+ years,1
2001-01,2020-09,Long-term migrant,Departures,Female,0-4 years,386
2001-01,2020-09,Long-term migrant,Departures,Male,0-4 years,416
2001-01,2020-09,Long-term migrant,Departures,Female,10-14 years,363
2001-01,2020-09,Long-term migrant,Departures,Male,10-14 years,431
2001-01,2020-09,Long-term migrant,Departures,Female,15-19 years,375
2001-01,2020-09,Long-term migrant,Departures,Male,15-19 years,410
2001-01,2020-09,Long-term migrant,Departures,Female,20-24 years,668
2001-01,2020-09,Long-term migrant,Departures,Male,20-24 years,667
2001-01,2020-09,Long-term migrant,Departures,Female,25-29 years,662
2001-01,2020-09,Long-term migrant,Departures,Male,25-29 years,683
2001-01,2020-09,Long-term migrant,Departures,Female,30-34 years,462
2001-01,2020-09,Long-term migrant,Departures,Male,30-34 years,477
2001-01,2020-09,Long-term migrant,Departures,Female,35-39 years,469
2001-01,2020-09,Long-term migrant,Departures,Male,35-39 years,436
2001-01,2020-09,Long-term migrant,Departures,Female,40-44 years,335
2001-01,2020-09,Long-term migrant,Departures,Male,40-44 years,354
2001-01,2020-09,Long-term migrant,Departures,Female,45-49 years,217
2001-01,2020-09,Long-term migrant,Departures,Male,45-49 years,258
2001-01,2020-09,Long-term migrant,Departures,Female,5-9 years,386
2001-01,2020-09,Long-term migrant,Departures,Male,5-9 years,451
2001-01,2020-09,Long-term migrant,Departures,Female,50-54 years,152
2001-01,2020-09,Long-term migrant,Departures,Male,50-54 years,199
2001-01,2020-09,Long-term migrant,Departures,Female,55-59 years,92
2001-01,2020-09,Long-term migrant,Departures,Male,55-59 years,89
2001-01,2020-09,Long-term migrant,Departures,Female,60-64 years,74
2001-01,2020-09,Long-term migrant,Departures,Male,60-64 years,67
2001-01,2020-09,Long-term migrant,Departures,Female,65-69 years,58
2001-01,2020-09,Long-term migrant,Departures,Male,65-69 years,55
2001-01,2020-09,Long-term migrant,Departures,Female,70-74 years,39
2001-01,2020-09,Long-term migrant,Departures,Male,70-74 years,22
2001-01,2020-09,Long-term migrant,Departures,Female,75-79 years,17
2001-01,2020-09,Long-term migrant,Departures,Male,75-79 years,20
2001-01,2020-09,Long-term migrant,Departures,Female,80-84 years,6
2001-01,2020-09,Long-term migrant,Departures,Male,80-84 years,7
2001-01,2020-09,Long-term migrant,Departures,Female,85-89 years,6
2001-01,2020-09,Long-term migrant,Departures,Female,90+ years,3
2001-01,2020-09,Long-term migrant,Net,Female,0-4 years,-42
2001-01,2020-09,Long-term migrant,Net,Male,0-4 years,-75
2001-01,2020-09,Long-term migrant,Net,Female,10-14 years,96
2001-01,2020-09,Long-term migrant,Net,Male,10-14 years,79
2001-01,2020-09,Long-term migrant,Net,Female,15-19 years,524
2001-01,2020-09,Long-term migrant,Net,Male,15-19 years,494
2001-01,2020-09,Long-term migrant,Net,Female,20-24 years,-102
2001-01,2020-09,Long-term migrant,Net,Male,20-24 years,-101
2001-01,2020-09,Long-term migrant,Net,Female,25-29 years,-3
2001-01,2020-09,Long-term migrant,Net,Male,25-29 years,-79
2001-01,2020-09,Long-term migrant,Net,Female,30-34 years,52
2001-01,2020-09,Long-term migrant,Net,Male,30-34 years,25
2001-01,2020-09,Long-term migrant,Net,Female,35-39 years,-9
2001-01,2020-09,Long-term migrant,Net,Male,35-39 years,-29
2001-01,2020-09,Long-term migrant,Net,Female,40-44 years,-7
2001-01,2020-09,Long-term migrant,Net,Male,40-44 years,-6
2001-01,2020-09,Long-term migrant,Net,Female,45-49 years,-11
2001-01,2020-09,Long-term migrant,Net,Male,45-49 years,-37
2001-01,2020-09,Long-term migrant,Net,Female,5-9 years,21
2001-01,2020-09,Long-term migrant,Net,Male,5-9 years,-47
2001-01,2020-09,Long-term migrant,Net,Female,50-54 years,-10
2001-01,2020-09,Long-term migrant,Net,Male,50-54 years,-28
2001-01,2020-09,Long-term migrant,Net,Female,55-59 years,1
2001-01,2020-09,Long-term migrant,Net,Male,55-59 years,15
2001-01,2020-09,Long-term migrant,Net,Male,60-64 years,2
2001-01,2020-09,Long-term migrant,Net,Female,65-69 years,3
2001-01,2020-09,Long-term migrant,Net,Male,65-69 years,-13
2001-01,2020-09,Long-term migrant,Net,Female,70-74 years,-7
2001-01,2020-09,Long-term migrant,Net,Male,70-74 years,15
2001-01,2020-09,Long-term migrant,Net,Female,75-79 years,4
2001-01,2020-09,Long-term migrant,Net,Male,75-79 years,-6
2001-01,2020-09,Long-term migrant,Net,Female,80-84 years,5
2001-01,2020-09,Long-term migrant,Net,Male,80-84 years,1
2001-01,2020-09,Long-term migrant,Net,Female,85-89 years,-2
2001-01,2020-09,Long-term migrant,Net,Male,85-89 years,3
2001-01,2020-09,Long-term migrant,Net,Female,90+ years,2
2001-01,2020-09,Long-term migrant,Net,Male,90+ years,1
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,0-4 years,685
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,10-14 years,969
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,15-19 years,1803
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,20-24 years,1132
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,25-29 years,1263
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,30-34 years,1016
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,35-39 years,867
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,40-44 years,676
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,45-49 years,427
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,5-9 years,811
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,50-54 years,313
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,55-59 years,197
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,60-64 years,143
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,65-69 years,103
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,70-74 years,69
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,75-79 years,35
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,80-84 years,19
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,85-89 years,7
2001-01,2020-09,Long-term migrant,Departures,TOTAL,0-4 years,802
2001-01,2020-09,Long-term migrant,Departures,TOTAL,10-14 years,794
2001-01,2020-09,Long-term migrant,Departures,TOTAL,15-19 years,785
2001-01,2020-09,Long-term migrant,Departures,TOTAL,20-24 years,1335
2001-01,2020-09,Long-term migrant,Departures,TOTAL,25-29 years,1345
2001-01,2020-09,Long-term migrant,Departures,TOTAL,30-34 years,939
2001-01,2020-09,Long-term migrant,Departures,TOTAL,35-39 years,905
2001-01,2020-09,Long-term migrant,Departures,TOTAL,40-44 years,689
2001-01,2020-09,Long-term migrant,Departures,TOTAL,45-49 years,475
2001-01,2020-09,Long-term migrant,Departures,TOTAL,5-9 years,837
2001-01,2020-09,Long-term migrant,Departures,TOTAL,50-54 years,351
2001-01,2020-09,Long-term migrant,Departures,TOTAL,55-59 years,181
2001-01,2020-09,Long-term migrant,Departures,TOTAL,60-64 years,141
2001-01,2020-09,Long-term migrant,Departures,TOTAL,65-69 years,113
2001-01,2020-09,Long-term migrant,Departures,TOTAL,70-74 years,61
2001-01,2020-09,Long-term migrant,Departures,TOTAL,75-79 years,37
2001-01,2020-09,Long-term migrant,Departures,TOTAL,80-84 years,13
2001-01,2020-09,Long-term migrant,Departures,TOTAL,85-89 years,6
2001-01,2020-09,Long-term migrant,Net,TOTAL,0-4 years,-117
2001-01,2020-09,Long-term migrant,Net,TOTAL,10-14 years,175
2001-01,2020-09,Long-term migrant,Net,TOTAL,15-19 years,1018
2001-01,2020-09,Long-term migrant,Net,TOTAL,20-24 years,-203
2001-01,2020-09,Long-term migrant,Net,TOTAL,25-29 years,-82
2001-01,2020-09,Long-term migrant,Net,TOTAL,30-34 years,77
2001-01,2020-09,Long-term migrant,Net,TOTAL,35-39 years,-38
2001-01,2020-09,Long-term migrant,Net,TOTAL,40-44 years,-13
2001-01,2020-09,Long-term migrant,Net,TOTAL,45-49 years,-48
2001-01,2020-09,Long-term migrant,Net,TOTAL,5-9 years,-26
2001-01,2020-09,Long-term migrant,Net,TOTAL,50-54 years,-38
2001-01,2020-09,Long-term migrant,Net,TOTAL,55-59 years,16
2001-01,2020-09,Long-term migrant,Net,TOTAL,60-64 years,2
2001-01,2020-09,Long-term migrant,Net,TOTAL,65-69 years,-10
2001-01,2020-09,Long-term migrant,Net,TOTAL,70-74 years,8
2001-01,2020-09,Long-term migrant,Net,TOTAL,75-79 years,-2
2001-01,2020-09,Long-term migrant,Net,TOTAL,80-84 years,6
2001-01,2020-09,Long-term migrant,Net,TOTAL,85-89 years,1
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,90+ years,6
2001-01,2020-09,Long-term migrant,Departures,TOTAL,90+ years,3
2001-01,2020-09,Long-term migrant,Net,TOTAL,90+ years,3
2001-01,2020-09,Long-term migrant,Arrivals,Female,TOTAL,5285
2001-01,2020-09,Long-term migrant,Arrivals,Male,TOTAL,5256
2001-01,2020-09,Long-term migrant,Departures,Female,TOTAL,4770
2001-01,2020-09,Long-term migrant,Departures,Male,TOTAL,5042
2001-01,2020-09,Long-term migrant,Net,Female,TOTAL,515
2001-01,2020-09,Long-term migrant,Net,Male,TOTAL,214
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,TOTAL,10541
2001-01,2020-09,Long-term migrant,Departures,TOTAL,TOTAL,9812
2001-01,2020-09,Long-term migrant,Net,TOTAL,TOTAL,729
2001-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,269
2001-02,2020-09,Long-term migrant,Arrivals,Male,0-4 years,283
2001-02,2020-09,Long-term migrant,Arrivals,Female,10-14 years,275
2001-02,2020-09,Long-term migrant,Arrivals,Male,10-14 years,337
2001-02,2020-09,Long-term migrant,Arrivals,Female,15-19 years,807
2001-02,2020-09,Long-term migrant,Arrivals,Male,15-19 years,954
2001-02,2020-09,Long-term migrant,Arrivals,Female,20-24 years,822
2001-02,2020-09,Long-term migrant,Arrivals,Male,20-24 years,882
2001-02,2020-09,Long-term migrant,Arrivals,Female,25-29 years,679
2001-02,2020-09,Long-term migrant,Arrivals,Male,25-29 years,738
2001-02,2020-09,Long-term migrant,Arrivals,Female,30-34 years,494
2001-02,2020-09,Long-term migrant,Arrivals,Male,30-34 years,488
2001-02,2020-09,Long-term migrant,Arrivals,Female,35-39 years,359
2001-02,2020-09,Long-term migrant,Arrivals,Male,35-39 years,419
2001-02,2020-09,Long-term migrant,Arrivals,Female,40-44 years,288
2001-02,2020-09,Long-term migrant,Arrivals,Male,40-44 years,281
2001-02,2020-09,Long-term migrant,Arrivals,Female,45-49 years,163
2001-02,2020-09,Long-term migrant,Arrivals,Male,45-49 years,173
2001-02,2020-09,Long-term migrant,Arrivals,Female,5-9 years,268
2001-02,2020-09,Long-term migrant,Arrivals,Male,5-9 years,265
2001-02,2020-09,Long-term migrant,Arrivals,Female,50-54 years,133
2001-02,2020-09,Long-term migrant,Arrivals,Male,50-54 years,152
2001-02,2020-09,Long-term migrant,Arrivals,Female,55-59 years,127
2001-02,2020-09,Long-term migrant,Arrivals,Male,55-59 years,130
2001-02,2020-09,Long-term migrant,Arrivals,Female,60-64 years,135
2001-02,2020-09,Long-term migrant,Arrivals,Male,60-64 years,111
2001-02,2020-09,Long-term migrant,Arrivals,Female,65-69 years,98
2001-02,2020-09,Long-term migrant,Arrivals,Male,65-69 years,86
2001-02,2020-09,Long-term migrant,Arrivals,Female,70-74 years,59
2001-02,2020-09,Long-term migrant,Arrivals,Male,70-74 years,53
2001-02,2020-09,Long-term migrant,Arrivals,Female,75-79 years,38
2001-02,2020-09,Long-term migrant,Arrivals,Male,75-79 years,39
2001-02,2020-09,Long-term migrant,Arrivals,Female,80-84 years,20
2001-02,2020-09,Long-term migrant,Arrivals,Male,80-84 years,7
2001-02,2020-09,Long-term migrant,Arrivals,Female,85-89 years,7
2001-02,2020-09,Long-term migrant,Arrivals,Male,85-89 years,3
2001-02,2020-09,Long-term migrant,Arrivals,Female,90+ years,1
2001-02,2020-09,Long-term migrant,Arrivals,Male,90+ years,5
2001-02,2020-09,Long-term migrant,Departures,Female,0-4 years,371
2001-02,2020-09,Long-term migrant,Departures,Male,0-4 years,373
2001-02,2020-09,Long-term migrant,Departures,Female,10-14 years,257
2001-02,2020-09,Long-term migrant,Departures,Male,10-14 years,264
2001-02,2020-09,Long-term migrant,Departures,Female,15-19 years,296
2001-02,2020-09,Long-term migrant,Departures,Male,15-19 years,279
2001-02,2020-09,Long-term migrant,Departures,Female,20-24 years,711
2001-02,2020-09,Long-term migrant,Departures,Male,20-24 years,691
2001-02,2020-09,Long-term migrant,Departures,Female,25-29 years,695
2001-02,2020-09,Long-term migrant,Departures,Male,25-29 years,718
2001-02,2020-09,Long-term migrant,Departures,Female,30-34 years,469
2001-02,2020-09,Long-term migrant,Departures,Male,30-34 years,505
2001-02,2020-09,Long-term migrant,Departures,Female,35-39 years,378
2001-02,2020-09,Long-term migrant,Departures,Male,35-39 years,437
2001-02,2020-09,Long-term migrant,Departures,Female,40-44 years,279
2001-02,2020-09,Long-term migrant,Departures,Male,40-44 years,338
2001-02,2020-09,Long-term migrant,Departures,Female,45-49 years,194
2001-02,2020-09,Long-term migrant,Departures,Male,45-49 years,213
2001-02,2020-09,Long-term migrant,Departures,Female,5-9 years,289
2001-02,2020-09,Long-term migrant,Departures,Male,5-9 years,325
2001-02,2020-09,Long-term migrant,Departures,Female,50-54 years,142
2001-02,2020-09,Long-term migrant,Departures,Male,50-54 years,164
2001-02,2020-09,Long-term migrant,Departures,Female,55-59 years,130
2001-02,2020-09,Long-term migrant,Departures,Male,55-59 years,129
2001-02,2020-09,Long-term migrant,Departures,Female,60-64 years,102
2001-02,2020-09,Long-term migrant,Departures,Male,60-64 years,102
2001-02,2020-09,Long-term migrant,Departures,Female,65-69 years,86
2001-02,2020-09,Long-term migrant,Departures,Male,65-69 years,87
2001-02,2020-09,Long-term migrant,Departures,Female,70-74 years,45
2001-02,2020-09,Long-term migrant,Departures,Male,70-74 years,39
2001-02,2020-09,Long-term migrant,Departures,Female,75-79 years,24
2001-02,2020-09,Long-term migrant,Departures,Male,75-79 years,25
2001-02,2020-09,Long-term migrant,Departures,Female,80-84 years,5
2001-02,2020-09,Long-term migrant,Departures,Male,80-84 years,6
2001-02,2020-09,Long-term migrant,Departures,Female,85-89 years,5
2001-02,2020-09,Long-term migrant,Departures,Male,85-89 years,4
2001-02,2020-09,Long-term migrant,Departures,Female,90+ years,2
2001-02,2020-09,Long-term migrant,Departures,Male,90+ years,4
2001-02,2020-09,Long-term migrant,Net,Female,0-4 years,-102
